1st: #157
2,4-d: #24D
A.A.A.: #AAA
A.B.A.: #ABA
A.D.C.: #ADC
A.I.A.: #A1A
A.I.D.: #A1D
AAA: #AAA
AAAAAA: #AAAAAA
AAE: #AAE
AAF: #AAF
aal: #AA1
aaliis: #AA1115
AAO: #AA0
AAS: #AA5
ABA: #ABA
abacas: #ABACA5
abacli: #ABAC11
abacot: #ABAC07
abadia: #ABAD1A
abased: #ABA5ED
abases: #ABA5E5
abasia: #ABA51A
abasic: #ABA51C
abasio: #ABA510
abassi: #ABA551
abated: #ABA7ED
abates: #ABA7E5
abatic: #ABA71C
abatis: #ABA715
abb: #ABB
abbasi: #ABBA51
Abbate: #ABBA7E
abbess: #ABBE55
abbest: #ABBE57
abbots: #ABB075
abbot's: #ABB075
Abbott: #ABB077
ABC: #ABC
abcess: #ABCE55
abd: #ABD
abdali: #ABDA11
abdest: #ABDE57
Abdias: #ABD1A5
Abdiel: #ABD1E1
Abe: #ABE
a-be: #ABE
abeles: #ABE1E5
Abelia: #ABE11A
abesse: #ABE55E
ABI: #AB1
abidal: #AB1DA1
abided: #AB1DED
abides: #AB1DE5
abilao: #AB11A0
abilla: #AB111A
Abisia: #AB151A
abl: #AB1
abl.: #AB1
A-blast: #AB1A57
ablate: #AB1A7E
ablest: #AB1E57
Abo: #AB0
aboded: #AB0DED
abodes: #AB0DE5
abode's: #AB0DE5
abolla: #AB011A
Abqaiq: #AB9A19
ABS: #AB5
abs-: #AB5
abseil: #AB5E11
absist: #AB5157
absoil: #AB5011
abt: #AB7
Acacea: #ACACEA
Acacia: #ACAC1A
Acadia: #ACAD1A
Acadie: #ACAD1E
Acalia: #ACA11A
acates: #ACA7E5
ACB: #ACB
ACC: #ACC
acc.: #ACC
accede: #ACCEDE
access: #ACCE55
accise: #ACC15E
accite: #ACC17E
accoil: #ACC011
accoll: #ACC011
accost: #ACC057
ACD: #ACD
ACE: #ACE
acedia: #ACED1A
aceite: #ACE17E
acetal: #ACE7A1
Acetes: #ACE7E5
acetic: #ACE71C
acetla: #ACE71A
acetol: #ACE701
ACF: #ACF
acidic: #AC1D1C
ACL: #AC1
ACO: #AC0
a-coast: #AC0A57
Acoela: #AC0E1A
Acosta: #AC057A
ACS: #AC5
ACT: #AC7
Actaea: #AC7AEA
Actiad: #AC71AD
ADA: #ADA
Adabel: #ADABE1
Adalai: #ADA1A1
adalat: #ADA1A7
Adalia: #ADA11A
adalid: #ADA11D
Adalie: #ADA11E
adatis: #ADA715
ADB: #ADB
ADC: #ADC
ADD: #ADD
add.: #ADD
add-add: #ADDADD
addice: #ADD1CE
addict: #ADD1C7
Addiel: #ADD1E1
addita: #ADD17A
addled: #ADD1ED
addles: #ADD1E5
ade: #ADE
Adelea: #ADE1EA
Adelia: #ADE11A
Adella: #ADE11A
Adelle: #ADE11E
adeste: #ADE57E
ADF: #ADF
ADI: #AD1
adiate: #AD1A7E
Adicea: #AD1CEA
Adiell: #AD1E11
adital: #AD17A1
aditio: #AD1710
adless: #AD1E55
ado: #AD0
adobes: #AD0BE5
adobos: #AD0B05
Adolfo: #AD01F0
adq-: #AD9
ADS: #AD5
ADT: #AD7
AEA: #AEA
AEC: #AEC
aecial: #AEC1A1
aedile: #AED11E
Aeetes: #AEE7E5
AEF: #AEF
aefald: #AEFA1D
Aeolia: #AE011A
Aeolic: #AE011C
aeolid: #AE011D
Aeolis: #AE0115
aeq: #AE9
AES: #AE5
Aestii: #AE5711
AET: #AE7
aet.: #AE7
AFA: #AFA
afaced: #AFACED
AFACTS: #AFAC75
AFATDS: #AFA7D5
AFB: #AFB
AFC: #AFC
afd: #AFD
afetal: #AFE7A1
aff: #AFF
affect: #AFFEC7
affied: #AFF1ED
affies: #AFF1E5
affile: #AFF11E
AFI: #AF1
afield: #AF1E1D
AFL: #AF1
AFLCIO: #AF1C10
AFL-CIO: #AF1C10
afloat: #AF10A7
afocal: #AF0CA1
AFS: #AF5
AFT: #AF7
aftaba: #AF7ABA
aftosa: #AF705A
AIA: #A1A
AIC: #A1C
AID: #A1D
Aiello: #A1E110
AIF: #A1F
ail: #A11
Ailssa: #A1155A
aiolis: #A10115
AIS: #A15
aisled: #A151ED
aisles: #A151E5
ait: #A17
ALA: #A1A
Ala.: #A1A
alaite: #A1A17E
alalia: #A1A11A
alaloi: #A1A101
alasas: #A1A5A5
Alatea: #A1A7EA
alated: #A1A7ED
alates: #A1A7E5
Alb: #A1B
Alb.: #A1B
albata: #A1BA7A
albedo: #A1BED0
albeit: #A1BE17
albite: #A1B17E
ALC: #A1C
alcade: #A1CADE
Alcaic: #A1CA1C
alcaid: #A1CA1D
alcali: #A1CA11
Alcedo: #A1CED0
Alcide: #A1C1DE
alcids: #A1C1D5
alclad: #A1C1AD
Alcott: #A1C077
Ald: #A1D
Ald.: #A1D
aldeia: #A1DE1A
aldide: #A1D1DE
aldols: #A1D015
aldose: #A1D05E
ale: #A1E
Alecia: #A1EC1A
Alecto: #A1EC70
Aleece: #A1EECE
ale-fed: #A1EFED
Alesia: #A1E51A
Aletes: #A1E7E5
Aletta: #A1E77A
Alette: #A1E77E
Alf: #A1F
ALI: #A11
ali-: #A11
alibis: #A11B15
alibi's: #A11B15
alible: #A11B1E
Alicea: #A11CEA
Alicia: #A11C1A
alidad: #A11DAD
Alidia: #A11D1A
Alidis: #A11D15
Alisia: #A1151A
alisos: #A11505
Alissa: #A1155A
Alitta: #A1177A
all: #A11
all-: #A11
Allbee: #A11BEE
Allcot: #A11C07
allect: #A11EC7
allele: #A11E1E
allice: #A111CE
Allied: #A111ED
Allies: #A111E5
allods: #A110D5
all-oil: #A11011
allose: #A1105E
allots: #A11075
all-sea: #A115EA
Alo: #A10
Alodee: #A10DEE
alodia: #A10D1A
Alodie: #A10D1E
Aloise: #A1015E
aloofe: #A100FE
aloose: #A1005E
ALS: #A15
Alsace: #A15ACE
alt: #A17
alt.: #A17
Altaic: #A17A1C
Altaid: #A17A1D
Altica: #A171CA
AOA: #A0A
aob: #A0B
AOL: #A01
AOQ: #A09
AOS: #A05
AQL: #A91
ASA: #A5A
asb: #A5B
asbest: #A5BE57
ASC: #A5C
asc-: #A5C
ascebc: #A5CEBC
ascill: #A5C111
ascitb: #A5C17B
ascite: #A5C17E
ascots: #A5C075
asdics: #A5D1C5
ase: #A5E
Aselli: #A5E111
asfast: #A5FA57
ASI: #A51
asides: #A51DE5
asilid: #A5111D
asitia: #A5171A
Aso: #A50
ASS: #A55
assail: #A55A11
assais: #A55A15
assate: #A55A7E
assbaa: #A55BAA
asseal: #A55EA1
asself: #A55E1F
assess: #A55E55
assets: #A55E75
asset's: #A55E75
assisa: #A5515A
assise: #A5515E
Assisi: #A55151
assist: #A55157
assoil: #A55011
ast: #A57
astate: #A57A7E
astite: #A5717E
AT&T: #A77
ATA: #A7A
atabal: #A7ABA1
Atalee: #A7A1EE
Atalie: #A7A11E
ATB: #A7B
ATC: #A7C
ate: #A7E
ate-: #A7E
Ateles: #A7E1E5
atelic: #A7E11C
Ateste: #A7E57E
ATF: #A7F
ATI: #A71
atlatl: #A71A71
atloid: #A7101D
ATO: #A70
atocia: #A70C1A
atolls: #A70115
atoll's: #A70115
Atossa: #A7055A
ATS: #A75
ATT: #A77
att.: #A77
atteal: #A77EA1
attest: #A77E57
Attica: #A771CA
attice: #A771CE
attics: #A771C5
attic's: #A771C5
Attila: #A7711A
Attlee: #A771EE
B.A.A.: #BAA
B.B.C.: #BBC
B.C.E.: #BCE
B.C.L.: #BC1
B.D.S.: #BD5
B.E.F.: #BEF
B.Ed.: #BED
B.O.D.: #B0D
B.S.S.: #B55
B.Sc.: #B5C
BAA: #BAA
baases: #BAA5E5
Bab: #BAB
Babbie: #BABB1E
babbit: #BABB17
babble: #BABB1E
babels: #BABE15
babel's: #BABE15
babied: #BAB1ED
babies: #BAB1E5
Babist: #BAB157
Babita: #BAB17A
Babite: #BAB17E
Babits: #BAB175
babool: #BAB001
baboos: #BAB005
baboot: #BAB007
Bac: #BAC
bacaba: #BACABA
baccae: #BACCAE
Baccio: #BACC10
bacile: #BAC11E
bad: #BAD
badass: #BADA55
baddie: #BADD1E
BAE: #BAE
bae-: #BAE
baffed: #BAFFED
baffle: #BAFF1E
Bai: #BA1
bailed: #BA11ED
bailee: #BA11EE
Bailie: #BA111E
bailli: #BA1111
baited: #BA17ED
BAL: #BA1
bal.: #BA1
balada: #BA1ADA
balafo: #BA1AF0
Balaic: #BA1A1C
balaos: #BA1A05
balata: #BA1A7A
balate: #BA1A7E
Balboa: #BA1B0A
Baldad: #BA1DAD
balded: #BA1DED
Baldie: #BA1D1E
balete: #BA1E7E
Baliol: #BA1101
balita: #BA117A
baliti: #BA1171
ballad: #BA11AD
ballas: #BA11A5
ballat: #BA11A7
balled: #BA11ED
ballet: #BA11E7
ballot: #BA1107
Balolo: #BA1010
balsas: #BA15A5
baltei: #BA17E1
Baltic: #BA171C
Baltis: #BA1715
BAO: #BA0
baobab: #BA0BAB
BAS: #BA5
basale: #BA5A1E
basalt: #BA5A17
Bascio: #BA5C10
basest: #BA5E57
basial: #BA51A1
basics: #BA51C5
basic's: #BA51C5
Basile: #BA511E
basils: #BA5115
basoid: #BA501D
basote: #BA507E
basses: #BA55E5
Basset: #BA55E7
Bassia: #BA551A
bassie: #BA551E
bassos: #BA5505
Bastad: #BA57AD
basted: #BA57ED
bastes: #BA57E5
Bastia: #BA571A
Bat: #BA7
batata: #BA7A7A
batell: #BA7E11
batete: #BA7E7E
batlet: #BA71E7
batoid: #BA701D
Battat: #BA77A7
batted: #BA77ED
battel: #BA77E1
battle: #BA771E
BBA: #BBA
BBB: #BBB
BBC: #BBC
BBL: #BB1
bbl.: #BB1
bbs: #BB5
BCC: #BCC
BCD: #BCD
BCE: #BCE
bcf: #BCF
BCL: #BC1
BCS: #BC5
BDA: #BDA
BDC: #BDC
BDD: #BDD
Bde: #BDE
BDF: #BDF
bdl: #BD1
bdl.: #BD1
BDS: #BD5
BDT: #BD7
BEA: #BEA
beaded: #BEADED
Beadle: #BEAD1E
Bealle: #BEA11E
beasts: #BEA575
beatae: #BEA7AE
beatas: #BEA7A5
beatee: #BEA7EE
bebait: #BEBA17
bebite: #BEB17E
bebled: #BEB1ED
beblot: #BEB107
beboss: #BEB055
bec: #BEC
becall: #BECA11
beclad: #BEC1AD
becost: #BEC057
BED: #BED
